run,group,config,replicate,step,reward,entropy,kl,step_seconds
small-fft-a,small,fullft,a,0,0.10625,0.4466819167137146,0.00033772087772376835,358.8388479689602
small-fft-a,small,fullft,a,1,0.3125,0.3841402232646942,0.0009624288650229573,47.46131390100345
small-fft-a,small,fullft,a,2,0.34374999999999994,0.4110281467437744,0.0006037961575202644,52.16027460608166
small-fft-a,small,fullft,a,3,0.4984375,0.36515963077545166,0.0005455409991554916,51.9071604720084
small-fft-a,small,fullft,a,4,0.7078125,0.3009140193462372,0.0008080899715423584,60.65595090808347
small-fft-a,small,fullft,a,5,0.3890624999999999,0.3962271809577942,0.0008868997101671994,50.62743473390583
small-fft-a,small,fullft,a,6,0.33125,0.39284420013427734,0.0006245410768315196,55.77827539201826
small-fft-a,small,fullft,a,7,0.7375,0.32369157671928406,0.0010130993323400617,45.85867311502807
small-fft-a,small,fullft,a,8,0.5546875,0.3573518395423889,0.0007118385401554406,52.003735079895705
small-fft-a,small,fullft,a,9,0.553125,0.3422756791114807,0.0005933287902735174,46.760451429057866
small-fft-a,small,fullft,a,10,0.6375,0.3851487636566162,0.0009106369107030332,54.47996940393932
small-fft-a,small,fullft,a,11,0.35,0.38782262802124023,0.0008738290052860975,48.6884523560293
small-fft-a,small,fullft,a,12,0.71875,0.36357536911964417,0.00026455841725692153,42.48611295805313
small-fft-a,small,fullft,a,13,0.47968749999999993,0.4327162802219391,0.0008280656766146421,50.567450844915584
small-fft-a,small,fullft,a,14,0.6265625,0.33718928694725037,0.0005411087768152356,54.63670673395973
small-fft-a,small,fullft,a,15,0.7796875,0.296595960855484,0.0006033527315594256,42.49422249791678
small-fft-a,small,fullft,a,16,0.5828125,0.4081042408943176,0.0004807507211808115,47.153396079083905
small-fft-a,small,fullft,a,17,0.7250000000000001,0.32830050587654114,0.0010549335274845362,53.088340509915724
small-fft-a,small,fullft,a,18,0.590625,0.4207046627998352,0.0006990813417360187,48.86587253189646
small-fft-a,small,fullft,a,19,0.4359375,0.3583453893661499,0.0006786258309148252,42.58720078202896
small-fft-a,small,fullft,a,20,0.8421875,0.30957671999931335,0.0010387841612100601,46.61248307407368
small-fft-a,small,fullft,a,21,0.7421875,0.27370670437812805,0.0007776270504109561,48.227005835971795
small-fft-a,small,fullft,a,22,0.665625,0.34493258595466614,0.0006649859715253115,44.70847965904977
small-fft-a,small,fullft,a,23,0.7453125,0.28624510765075684,0.0006909515359438956,52.04425066395197
small-fft-a,small,fullft,a,24,0.49062500000000003,0.31282272934913635,0.0006067450740374625,47.066456379019655
